SRR3189679	SRR3189680	SRR3189681	SRR3189682	SRR3189683	SRR3189684	SRR3189685	SRR3189686	SRR3189687	SRR3189688	SRR3189689	SRR3189690	SRR3189691	SRR3189692	SRR3189693	SRR3189694	SRR3189695	SRR3189696	SRR3189697
536.4565	370.45822	618.47797	821.56537	17.322748	4.0700083	237.15501	554.2752	304.4355	912.03424	304.8771	707.43176	329.26883	407.7382	287.59412	816.88495	507.8462	243.17607	375.78433
73.4354	90.366684	118.79311	98.13478	425.44528	419.9615	84.49192	101.037575	71.59465	15.499079	69.404175	113.5523	46.6689	383.1504	245.23543	51.180805	84.32747	87.24065	35.930477
1615.562	2294.871	2298.3994	1697.7384	2003.1335	1662.3257	2000.9982	1953.4432	1548.1	1428.5658	2044.362	2455.8782	919.2553	3426.874	2902.843	2706.3455	2375.7214	2501.3423	2596.863
3192.9546	2892.8674	2265.758	2530.1978	1386.8331	2195.803	2446.6013	1679.7465	949.0146	1418.0753	1203.9324	1665.8651	86.18801	1219.7988	2871.3806	1837.007	1919.2909	2315.7861	742.0672
271.85962	270.58105	468.41983	461.0964	80.41066	68.65656	79.66757	116.42533	274.86368	478.064	160.48909	235.85118	263.7254	344.04337	336.15347	16.054684	71.47289	7.466848	36.358646
218.30754	205.17331	409.74698	506.5562	1.3694439	2.296521	6.28938	6.683077	10.9703245	20.065134	16.436962	31.322487	69.9357	11.706099	24.401104	7.729027	41.657246	7.4947805	52.47079
4585.1543	4394.6953	3822.0083	4430.0464	6535.4033	6771.611	5189.0386	4559.097	3554.9263	3365.0938	8256.144	2828.6006	2748.0579	6507.434	7524.6934	3741.5562	3391.447	5201.8584	3441.1953
2360.975	2091.4485	2048.175	1881.4128	5078.311	959.7737	1674.8174	1969.8713	2340.3918	2467.1487	1416.0024	2938.2388	3030.954	6659.0474	1844.3479	3141.2517	2489.5115	2352.291	2785.2417
1179.5713	1002.2677	948.16174	1068.5165	1892.1167	840.73737	920.1124	876.4205	918.02765	771.5787	453.36902	699.25543	783.46436	2580.6726	1446.6605	851.9835	798.6215	741.6281	718.6738
291.4839	167.5072	153.46759	124.37137	3043.7346	504.282	691.4743	657.4873	1213.2496	1040.0239	830.857	1645.1354	3707.8682	4356.551	842.93463	438.6381	931.55896	398.85757	1259.7642
1150.3158	950.5774	1023.21094	1183.9219	2495.221	1862.4193	2784.102	3765.2383	6064.697	3878.559	4173.9297	3933.7793	7031.938	4110.429	4135.8047	5060.0664	4692.291	4398.8887	9204.809
1629.0897	2098.0608	1012.9179	1020.90576	1828.7955	2310.964	1705.7126	1444.1348	900.8532	513.4784	2587.0637	500.44397	560.76294	1916.3292	2094.196	1390.4098	1263.9911	2097.7654000000002	1554.5985
276.75278	502.1266	257.426	180.41588	1448.2795	1102.7499	594.76495	292.88336	306.68182	119.74638	380.6241	455.08304	138.10872	1219.4838	728.42474	390.0513	404.04352	270.8713	165.07497
1203.8857	1238.461	1459.9211	874.44116	3819.232	1091.4147	1586.4908	668.34607	515.1035	688.68994	980.44086	657.91	141.63962	3167.9155	1323.1476	1042.1396	1290.7805	1164.9797	983.4346
740.6243	1009.8771	925.4182	841.5948	1364.0675	898.4598	845.3435	741.41376	687.9712	520.21533	978.4501	595.8597	273.76035	1758.0668	967.6812	856.4758	971.29486	808.31744	585.72656
3692.2217	4879.1777	2795.9802	1904.2784	2247.5156	3773.529	5869.754	4547.306	3304.953	2632.596	7361.8354	4857.983	4235.1636	3035.5247	5235.8716	5614.5684	5403.1064	5887.3735	6438.889
516.75256	419.4929	389.6043	549.39343	1982.5603	536.48047	523.63025	372.5311	630.597	347.92535	319.11066	500.9666	145.18819	1816.1261	688.3567	333.38742	436.70746	376.20966	179.44247
167.41084	212.55855	130.63405	1604.118	7269.216	599.0828	181.8596	151.57196	185.38205	79.23898	1091.6393	98.12824	49.21694	1447.5826	531.4057	77.76977	95.60962	552.6211	45.23606
2819.6353	3945.2422	2532.1416	1737.2882	5968.052	6144.5884	4789.8584	3311.0967	1918.7831	1421.9347	4423.8853	952.8272	401.16046	5959.6626	6297.1904	4049.4458	3458.318	5324.427	2494.0693
1117.2745	997.414	653.01605	576.3703	467.74844	712.3339	1221.1454	761.6085	860.73114	621.50446	958.019	172.4454	25.141613	355.19675	1296.6567	914.9774	1174.2397	1030.2365	531.1531
1058.1405	1377.8225	1039.8372	850.2611	2706.0283	1739.3184	1738.0886	1226.4003	618.52313	355.4734	1489.8167	788.80176	158.32663	3891.472	2353.1677	1337.1497	1503.6753	1575.6313	585.5938
1452.6526	1200.0126	1377.4648	1117.1741	2161.7446	758.863	1247.8903	1688.2758	1430.5458	1490.6658	1332.5889	2166.4226	2087.8481	2810.5356	1156.7539	1621.3104	1662.8384	1199.0497	1433.5367
2293.813	2695.8384	1980.0444	2705.4263	2024.7672	2172.9382	2400.2366	2917.9248	3326.8625	2733.3147	4319.4443	3190.4058	2219.8977	2005.8184	2921.491	3164.4824	2639.4182	3183.706	4785.317
247.08105	340.09586	194.59517	142.18289	516.60126	138.91609	184.29694	146.11095	111.63842	100.59657	83.29136	192.19246	113.96608	810.27155	211.06075	155.28084	153.25568	100.02724	89.245285
9347.405	10892.7	9107.248	5225.369	4064.6868	5718.5586	6393.473	7858.672	3688.9124	4371.9194	10858.938	6223.367	2822.1665	8852.284	11529.235	15184.113	11881.026	15615.954	10173.179
2252.926	2165.5503	2194.4045	2196.6462	2892.0435	3060.0168	1843.156	1904.6963	2050.9946	1278.9484	2526.4038	1559.6002	802.5357	2844.1824	2506.568	2021.2856	2173.3564	1798.8666	1027.4668
695.7189	842.3374	615.20325	636.73566	2238.7515	3226.1667	1073.2911	815.0697	1051.7518	315.15506	766.2745	434.28986	565.9863	1350.5531	1238.316	847.26117	467.8945	843.49457	513.952
820.3541	894.41534	670.2065	857.3819	731.8266	667.4736	880.86395	928.71045	1216.0148	681.9968	1102.6346	613.7545	847.2451	999.97595	770.3058	962.01746	797.1589	1042.4447	1301.9493
910.7929	1125.0042	1039.161	1206.5123	2104.841	672.0491	764.8675	1008.1939	722.76184	848.15216	725.8132	1387.3358	347.80975	2148.664	727.8396	1200.1199	1488.9412	970.3462	755.04095
899.45245	894.73035	608.3079	842.4674	1680.0089	1385.069	803.13763	644.23047	699.0858	692.0307	636.1929	899.60864	270.10565	1561.2764	1245.4701	668.6164	755.602	737.91846	461.15112
944.5175	1072.7307	1142.7837	905.0556	1731.8481	754.5936	1736.493	1785.5181	1317.1727	2113.5173	1608.5869	1532.324	557.9338	3665.2507	2109.7205	2247.0322	1802.3695	1756.8142	3781.6577
2148.6526	2216.808	2347.1648	1964.5192	3908.0493	1211.937	1750.1472	1559.4968	920.865	1251.91	1306.2153	811.06836	302.1887	4299.0415	1652.4827	1631.8429	2139.3005	2259.5466	1309.0546
473.7547	449.3467	453.16107	588.4459	1753.6996	465.1582	278.98508	637.24396	565.1745	302.75955	314.4852	397.1887	178.23946	760.74695	348.78067	413.2084	418.17413	347.37195	197.42345
1209.4047	825.80225	1048.0724	1396.1439	1638.1117	544.9402	836.8074	973.8811	870.85	1050.8601	783.2676	963.81744	735.57074	1687.8167	878.9511	1174.4932	980.5925	1114.4927	838.7172
1883.3921	1934.4037	2147.3958	1654.0419	1094.154	1203.7062	1341.123	2024.013	2680.1099	2332.0771	1794.4298	3542.828	4958.2646	1155.8854	1710.9188	2201.6077	2173.4507	1864.1605	3336.01
2732.2117	1757.6143	2739.064	3930.1575	2722.726	823.8828	763.57025	1397.6116	1620.8778	1714.621	1693.5979	936.1775	255.04071	2436.6304	702.9186	1614.3756	1334.9226	1278.7773	849.45715
17586.797	23904.422	17186.51	15792.913	7784.579	21147.479	33458.707	26698.941	25585.828	12405.898	25977.16	19405.98	15572.435	10572.092	37550.027	26834.58	21289.389	31781.162	7887.4014
357.1654	390.7818	471.76706	424.81708	337.72208	216.52142	317.31592	215.30338	404.308	399.13184	198.02176	642.07056	401.73297	1079.2803	316.79117	422.24	318.79214	303.8098	469.19843
4997.4883	6280.5	5773.1567	3581.1033	8286.004	6153.6865	6632.0405	5832.5312	2804.9866	6589.5586	5113.5596	9521.074	2428.3223	8527.121	6940.0356	9442.45	8599.021	7527.7373	4646.9976
658.2037	1004.71704	677.53094	439.90613	2531.5498	1173.3092	1139.1678	855.24316	464.9939	602.63385	611.4962	1120.4668	256.44803	2378.4219	1119.69	1101.7346	1505.2153	964.1921	727.0594
1724.4773	1888.1595	1528.6051	2225.7354	1692.4279	610.29816	817.8818	1485.4985	1719.3253	1466.9705	1751.9432	1778.3093	684.2406	2616.9856	897.9073	1367.4524	1703.0267	975.96265	781.1453
92.51853	345.05276	85.09668	136.0886	637.2801	787.1805	2813.1372	175.2312	986.9928	42.668278	114.100296	908.57104	1215.3433	2766.0254	3098.5928	37.83099	89.46573	41.23994	43.8153
2345.9216	2241.3179	2622.7727	1907.3195	18670.152	6026.7915	2094.3167	1838.5946	1374.555	2624.744	3520.197	2343.194	1023.68976	6237.6763	2300.722	3099.6326	3083.83	2624.9385	2443.546
740.9776	812.84485	749.4694	605.3665	1907.3062	923.98114	2461.7402	1103.8212	3213.5557	1098.4929	616.8335	1811.1901	1521.9187	3633.8792	2030.8109	1009.5813	1474.0066	724.87054	1689.6251
1286.2504	1577.3203	1076.725	1008.0251	1100.3696	1396.6589	1588.4618	1414.9607	1157.8344	803.37646	2382.3455	690.6954	897.5415	1498.2458	2096.75	1202.671	1173.9222	1514.9031	1346.2411
307.49127	259.02246	309.59372	390.52487	589.0633	241.16328	165.20743	187.15204	321.93314	143.88391	123.29477	184.57149	95.355125	376.38312	198.14693	169.10884	369.64645	147.34816	73.66752
7093.374	7271.1367	6103.4883	7905.432	3697.7004	5639.2266	6803.2944	7243.8184	12029.417	5292.104	9879.955	5261.945	4192.6562	5469.202	8534.067	6612.923	6767.975	7475.5713	10550.783
826.0801	1185.3665	918.3785	688.3486	1008.8755	1223.5457	1697.0261	1178.1415	620.81055	912.5779	2012.9578	1137.1543	847.90485	1448.4102	1693.3424	1125.2579	1231.9644	1801.5632	557.3692
294.69104	304.1324	286.28394	375.07477	605.80994	257.22684	193.66501	306.535	227.57884	225.50273	524.67285	175.01454	35.677856	986.57983	414.6096	249.75075	283.05234	269.34402	192.6849
814.22144	687.1599	835.7985	461.51367	0.78065133	268.944	514.36035	774.4731	1306.9353	1402.1283	457.9374	1959.1508	3194.023	40.54284	489.66293	1214.6473	956.3081	664.95575	1373.9146
